source,target,database
RSPH9,SPAG6,STRING
RSPH9,CFAP221,STRING
RSPH9,TTC25,STRING
RSPH9,LRRC6,STRING
RSPH9,CCDC103,STRING
RSPH9,CCDC40,STRING
RSPH9,DNAH11,STRING
RUFY4,STK36,STRING
RUFY4,ZNF142,STRING
SFRP2,WNT6,STRING
SFRP2,PTCH1,STRING
SFRP2,IHH,STRING
SFRP2,STK36,STRING
SFRP2,SHH,STRING
SFRP2,SFRP4,STRING
SFRP4,WNT6,STRING
SFRP4,SFRP5,STRING
SFRP4,SFRP2,STRING
SFRP4,STK36,STRING
SFRP5,WNT6,STRING
SFRP5,SFRP4,STRING
SFRP5,STK36,STRING
SHH,GLI1,STRING
SHH,WNT6,STRING
SHH,SMO,STRING
SHH,SFRP2,STRING
SHH,DISP1,STRING
SHH,STK36,STRING
SHH,IHH,STRING
SHH,HHIP,STRING
SHH,KIF27,STRING
SHH,PAX3,STRING
SHH,KIF7,STRING
SHH,SUFU,STRING
SHH,DHH,STRING
SHH,GLI3,STRING
SHH,GLI2,STRING
SHH,PTCH1,STRING
SHH,PTCH2,STRING
SMO,GLI1,STRING
SMO,WDR19,STRING
SMO,DISP1,STRING
SMO,KIF21B,STRING
SMO,GAS8,STRING
SMO,HHIP,STRING
SMO,STK36,STRING
SMO,KIF27,STRING
SMO,KIF7,STRING
SMO,DHH,STRING
SMO,GLI3,STRING
SMO,GLI2,STRING
SMO,PTCH2,STRING
SMO,IHH,STRING
SMO,SUFU,STRING
SMO,SHH,STRING
SMO,PTCH1,STRING
SPAG6,RSPH4A,STRING
SPAG6,RSPH3,STRING
SPAG6,DNAH9,STRING
SPAG6,GAS8,STRING
SPAG6,RSPH1,STRING
SPAG6,STK36,STRING
SPAG6,PACRG,STRING
SPAG6,SPEF2,STRING
SPAG6,DPCD,STRING
SPAG6,RSPH9,STRING
SPAG6,CCDC40,STRING
SPAG6,CFAP221,STRING
SPEF2,RSPH4A,STRING
SPEF2,RSPH3,STRING
SPEF2,GAS8,STRING
SPEF2,RSPH1,STRING
SPEF2,STK36,STRING
SPEF2,PACRG,STRING
SPEF2,CCDC151,STRING
SPEF2,DNAH11,STRING
SPEF2,LRRC6,STRING
SPEF2,WDR19,STRING
SPEF2,RSPH9,STRING
SPEF2,CCDC40,STRING
SPEF2,CFAP221,STRING
SPEF2,SPAG6,STRING
STK36,HEATR6,STRING
STK36,GLI1,STRING
STK36,RSPH4A,STRING
STK36,WNT6,STRING
STK36,CFP,STRING
STK36,SMO,STRING
STK36,RSPH3,STRING
STK36,RELCH,STRING
STK36,DNAH9,STRING
STK36,SFRP5,STRING
STK36,GAS8,STRING
STK36,SFRP2,STRING
STK36,DISP1,STRING
STK36,RSPH1,STRING
STK36,CCDC151,STRING
STK36,CCDC103,STRING
STK36,HHIP,STRING
STK36,DNAAF5,STRING
STK36,TTC25,STRING
STK36,INTS4,STRING
STK36,WDR19,STRING
STK36,DNAH11,STRING
STK36,SPAG6,STRING
STK36,RUFY4,STRING
STK36,GLI4,STRING
STK36,DHH,STRING
STK36,HEATR4,STRING
STK36,LRRC6,STRING
STK36,MEAK7,STRING
STK36,SFRP4,STRING
STK36,CFAP221,STRING
STK36,CCDC40,STRING
STK36,IHH,STRING
STK36,SPEF2,STRING
STK36,PAX3,STRING
STK36,PACRG,STRING
STK36,HSP90AA1,STRING
STK36,ZNF142,STRING
STK36,RSPH9,STRING
STK36,ULK4,STRING
STK36,DPCD,STRING
STK36,PTCH1,STRING
STK36,SHH,STRING
STK36,KIF21B,STRING
STK36,PTCH2,STRING
STK36,KIF7,STRING
STK36,GLI2,STRING
STK36,GLI3,STRING
STK36,KIF27,STRING
STK36,SUFU,STRING
SUFU,GLI1,STRING
SUFU,SMO,STRING
SUFU,DISP1,STRING
SUFU,STK36,STRING
SUFU,IHH,STRING
SUFU,HHIP,STRING
SUFU,SHH,STRING
SUFU,KIF27,STRING
SUFU,ULK4,STRING
SUFU,PTCH1,STRING
SUFU,KIF21B,STRING
SUFU,DHH,STRING
SUFU,PTCH2,STRING
SUFU,GLI2,STRING
SUFU,KIF7,STRING
SUFU,GLI3,STRING
TTC25,RSPH4A,STRING
TTC25,RSPH3,STRING
TTC25,DNAH9,STRING
TTC25,GAS8,STRING
TTC25,RSPH1,STRING
TTC25,STK36,STRING
TTC25,DNAAF5,STRING
TTC25,PACRG,STRING
TTC25,CCDC151,STRING
TTC25,RSPH9,STRING
TTC25,CCDC40,STRING
TTC25,CCDC103,STRING
TTC25,DNAH11,STRING
TTC25,LRRC6,STRING
ULK4,STK36,STRING
ULK4,KIF27,STRING
ULK4,SUFU,STRING
WDR19,SMO,STRING
WDR19,STK36,STRING
WDR19,SPEF2,STRING
WNT6,STK36,STRING
WNT6,PAX3,STRING
WNT6,SHH,STRING
WNT6,IHH,STRING
WNT6,SFRP5,STRING
WNT6,SFRP2,STRING
WNT6,SFRP4,STRING
ZNF142,STK36,STRING
ZNF142,RUFY4,STRING
STK36,MAST2,Entrez/NCBI
STK36,ARAF,Entrez/NCBI
STK36,ECT2,Entrez/NCBI
STK36,GLI1,Entrez/NCBI
STK36,ACVR1B,Entrez/NCBI
STK36,ENPP1,Entrez/NCBI
STK36,GFRA3,Entrez/NCBI
STK36,DNAJC19,Entrez/NCBI
STK36,CDC5L,Entrez/NCBI
STK36,GLI2,Entrez/NCBI
STK36,ARMC6,Entrez/NCBI
STK36,ALDH3A2,Entrez/NCBI
STK36,FCGRT,Entrez/NCBI
STK36,CLNK,Entrez/NCBI
STK36,GLI3,Entrez/NCBI
STK36,CITED1,Entrez/NCBI
STK36,ETAA1,Entrez/NCBI
STK36,CDC37,Entrez/NCBI
STK36,CDK5RAP2,Entrez/NCBI
STK36,SUFU,Entrez/NCBI
STK36,FRMPD4,Entrez/NCBI
STK36,H3C6,Entrez/NCBI
STK36,MKI67,Entrez/NCBI
STK36,TRRAP,Entrez/NCBI
STK36,MUL1,Entrez/NCBI
STK36,RBM28,Entrez/NCBI
STK36,RIPK4,Entrez/NCBI
STK36,SARNP,Entrez/NCBI
STK36,HSP90AA5P,Entrez/NCBI
STK36,HMGA1,Entrez/NCBI
STK36,HSP90AA1,Entrez/NCBI
STK36,H2AZ1,Entrez/NCBI
STK36,NEIL3,Entrez/NCBI
STK36,MID1,Entrez/NCBI
STK36,STK36,Entrez/NCBI
STK36,STARD3,Entrez/NCBI
STK36,MAP1LC3B,Entrez/NCBI
STK36,PTEN,Entrez/NCBI
STK36,PGAM2,Entrez/NCBI
STK36,ULK4,Entrez/NCBI
STK36,SNU13,Entrez/NCBI
STK36,TOP3B,Entrez/NCBI
STK36,H2AC20,Entrez/NCBI
